date;total_orders;total_amount;avg_check;total_items;total_payments
2025-08-06;1;374387.74;374387.740000000000;12;0
2025-08-07;1;210264.82;210264.820000000000;5;64581.24
2025-08-08;1;72280.11;72280.110000000000;3;18756.01
2025-08-09;1;310110.61;310110.610000000000;15;267980.07
2025-08-12;1;374629.66;374629.660000000000;13;223939.23
2025-08-13;2;384907.51;192453.755000000000;20;394594.24
2025-08-23;1;203025.93;203025.930000000000;10;194705.28
2025-09-05;1;35969.28;35969.280000000000;2;32446.28
2025-09-11;1;334094.48;334094.480000000000;12;325347.37
2025-09-16;2;487313.53;243656.765000000000;18;464017.00
2025-09-17;1;357564.85;357564.850000000000;12;0
2025-09-18;2;253434.99;126717.495000000000;13;75086.14
2025-09-22;1;288654.60;288654.600000000000;13;282976.89
2025-09-28;1;17651.07;17651.0700000000000000;1;15614.70
2025-10-01;1;96037.95;96037.950000000000;3;74664.83
2025-10-05;1;75313.73;75313.730000000000;6;31013.02
2025-10-11;1;568496.02;568496.020000000000;16;382381.84
2025-10-12;1;42991.32;42991.320000000000;1;9241.62
2025-10-16;2;318175.22;159087.610000000000;13;267417.38
2025-10-20;1;587991.59;587991.590000000000;18;350022.92
2025-10-24;2;557539.01;278769.505000000000;18;204107.84
2025-11-09;2;703606.30;351803.150000000000;29;237242.03
2025-11-12;1;389144.22;389144.220000000000;10;278693.83
2025-11-13;1;481111.61;481111.610000000000;14;433438.04
2025-11-14;2;665568.17;332784.085000000000;29;386678.98
2025-11-15;1;294536.60;294536.600000000000;8;286464.83
