date,total_orders,total_amount,avg_check,total_items,total_payments
2025-03-21,1,244866.96,122433.480000000000,6,119792.36
2025-03-24,3,2078787.60,159906.738461538462,36,1485461.45
2025-04-07,1,2500985.52,416830.920000000000,16,0
2025-04-12,1,3076353.84,512725.640000000000,20,703326.36
2025-04-14,1,72416.22,72416.220000000000,2,18951.51
2025-04-15,1,10184.58,5092.2900000000000000,6,3067.38
2025-04-18,1,1210900.50,242180.100000000000,11,585869.35
2025-04-22,1,58183.02,58183.020000000000,3,17339.47
2025-04-24,1,300255.62,150127.810000000000,5,119525.28
2025-04-27,3,3809860.95,317488.412500000000,31,1493573.73
2025-04-28,1,793876.08,132312.680000000000,8,354860.28
2025-04-30,1,5489514.48,457459.540000000000,30,2742091.62
2025-05-01,1,1340738.22,223456.370000000000,15,0
2025-05-05,1,122946.52,122946.520000000000,4,118988.41
2025-05-06,1,692564.97,230854.990000000000,7,417007.59
2025-05-07,1,185756.48,92878.240000000000,8,76817.86
2025-05-09,2,2872411.64,359051.455000000000,22,1868752.02
2025-05-10,1,3193676.20,319367.620000000000,30,1651468.85
2025-05-12,1,330937.00,165468.500000000000,6,0
2025-05-14,3,4814538.05,253396.739473684211,43,2061527.31
2025-05-16,1,477110.40,119277.600000000000,10,119376.24
2025-05-28,1,738449.46,123074.910000000000,8,301485.96
2025-05-30,1,70327.52,70327.520000000000,4,55820.67
2025-06-04,1,49672.52,24836.260000000000,2,22502.41
2025-06-07,1,3156.58,3156.5800000000000000,2,901.43
2025-06-12,1,812107.60,203026.900000000000,10,183541.86
2025-06-13,1,1452662.70,290532.540000000000,12,541707.05
2025-06-14,2,7352626.80,565586.676923076923,40,3680120.67
2025-06-16,1,167809.96,83904.980000000000,5,58660.80
2025-06-23,1,878968.88,219742.220000000000,11,0
2025-06-25,1,1839379.20,229922.400000000000,24,916828.20
2025-06-27,1,2034993.48,339165.580000000000,15,0
2025-07-01,1,1347881.60,269576.320000000000,10,1095708.20
2025-07-03,1,1368948.55,273789.710000000000,10,1083209.90
2025-07-04,1,4362448.92,363537.410000000000,24,1759727.16
2025-07-08,1,516297.27,172099.090000000000,7,299895.90
2025-07-09,1,958400.22,319466.740000000000,10,197699.94
2025-07-10,1,1938938.82,323156.470000000000,13,0
2025-07-18,1,162073.64,162073.640000000000,4,74363.19
2025-07-24,1,1535947.80,307189.560000000000,12,578611.85
2025-07-25,1,104891.16,52445.580000000000,6,44077.06
2025-07-27,1,158025.20,79012.600000000000,4,62936.28
2025-07-29,1,463437.72,115859.430000000000,10,185208.60
2025-08-12,1,41000.63,41000.630000000000,1,0
2025-08-17,1,961602.48,320534.160000000000,9,0
2025-08-20,1,4743571.44,395297.620000000000,30,2353340.88
2025-08-25,2,152629.02,76314.510000000000,6,107792.33
2025-08-27,1,346475.84,86618.960000000000,10,186977.44
2025-08-31,1,127063.54,63531.770000000000,5,0
2025-09-02,2,4154455.68,259653.480000000000,27,2349377.87
2025-09-19,1,72416.22,36208.110000000000,2,36462.92
2025-09-20,1,2068218.72,344703.120000000000,16,649546.62
2025-09-21,1,201518.56,50379.640000000000,12,113326.10
2025-09-26,1,1298157.20,324539.300000000000,9,923164.96
2025-09-29,1,1879207.00,469801.750000000000,12,0
2025-09-30,2,7633942.86,424107.936666666667,56,3177255.36
2025-10-28,1,5172308.76,431025.730000000000,30,2342221.14
2025-10-31,1,1431312.00,178914.000000000000,20,672990.96
2025-11-01,1,1054392.50,210878.500000000000,10,568503.25
2025-11-02,1,2587035.30,431172.550000000000,15,0
2025-11-06,1,188724.88,188724.880000000000,4,83000.15
2025-11-08,1,1190078.96,297519.740000000000,14,417114.50
